[2025-12-03 19:06:19,840: INFO: main: welcome to our custom cnnClassifier]
[2026-01-10 23:13:44,669: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-01-10 23:13:44,911: INFO: common: yaml file: params.yaml loaded successfully]
[2026-01-10 23:13:44,915: ERROR: common: yaml file: params.yaml is empty]
[2026-01-10 23:16:37,458: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-01-10 23:16:37,461: INFO: common: yaml file: params.yaml loaded successfully]
[2026-01-10 23:16:37,463: ERROR: common: yaml file: params.yaml is empty]
[2026-01-10 23:17:14,516: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-01-10 23:17:14,527: INFO: common: yaml file: params.yaml loaded successfully]
[2026-01-10 23:17:14,610: INFO: common: created directory at: artifacts]
[2026-01-12 23:01:06,535: INFO: main: >>>>>> stage Data Ingestion Stage started <<<<<<]
[2026-01-12 23:01:06,559: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-01-12 23:01:06,607: INFO: common: yaml file: params.yaml loaded successfully]
[2026-01-12 23:01:06,621: INFO: common: created directory at: artifacts]
[2026-01-12 23:01:06,624: INFO: data_ingestion: Downloading file from :[https://drive.google.com/file/d/1WqOq9gp-ZC2nY9QcoqTtfpCDn48Vr1o5/view?usp=sharing] into :[artifacts/data_ingestion/data.zip]]
[2026-01-12 23:07:00,754: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1WqOq9gp-ZC2nY9QcoqTtfpCDn48Vr1o5/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-01-12 23:08:17,721: INFO: main: >>>>>> stage Data Ingestion Stage completed <<<<<<

x==========x]
